% Model,cap_for_S11.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 20 2024, 23:31"
% Table,Table 3 - Global Evaluation 3
% f (MHz),lcap (m),freq (MHz),S11 (1),S11 (1),De-embedded S11 (1),TEM port impedance (Ω),TEM mode port characteristic impedance (Ω),Voltage standing wave ratio (1)
81,0.078,81,0.7926182453894275-0.6097184376022661i,1.1121253725516434E-6,0.9693383819018682-0.24573025342483007i,-5.773087818025367E-6-27.49147201204657i,9.339901629606153,-1.562034255078482E7
81,0.079,81,0.7905933133404569-0.6123418004288051i,1.162393509122634E-6,0.9685187237727853-0.24894125683093926i,-5.9756834542453614E-6-27.342773391175694i,9.33990162960615,-1.4944835058297701E7
81,0.08,81,0.7885220775847208-0.6150075530362469i,5.893937382402432E-6,0.9676733493794089-0.2522095280337226i,-3.0002991277690898E-5-27.192773163630232i,9.339901629606146,-2947398.0035917666
81,0.081,81,0.7863983303521559-0.6177205021773661i,4.137916400728848E-6,0.9667984638022348-0.255541940159643i,-2.0854581526187716E-5-27.041195206384966i,9.339901629606148,-4198194.838506727
81,0.082,81,0.784220785673333-0.6204820116134783i,7.270871110931881E-7,0.9658934267342452-0.2589402549036851i,-3.6274537042143554E-6-26.88802471140611i,9.33990162960615,-2.389229436374412E7
81,0.083,81,0.782155986499583-0.623083093633271i,2.2964997256224266E-6,0.9650283361119092-0.2621465988522895i,-1.1348684647782087E-5-26.744796014982395i,9.339901629606151,-7564459.54842237
81,0.084,81,0.7800244675148759-0.6257496988722075i,3.7156505555163277E-6,0.964127951053073-0.2654395403076323i,-1.8183814782959782E-5-26.598975302644273i,9.339901629606153,-4675299.525736213
81,0.085,81,0.7778279826666366-0.6284775447313302i,1.7148147695913785E-6,0.963192184936225-0.26881445223155553i,-8.30907595638041E-6-26.45084191173984i,9.339901629606151,-1.013041150504873E7
81,0.08600000000000001,81,0.7755592612268938-0.6312749923503613i,1.2318403116603012E-6,0.9622176753331335-0.27228189238040507i,-5.908506013233341E-6-26.30002131451952i,9.339901629606151,-1.4102298085055001E7
81,0.08700000000000001,81,0.7734076696227273-0.6339089522349479i,-7.315748302766623E-8,0.9612859249501408-0.2755528146247455i,3.47567156622719E-7-26.159002201111395i,9.339901629606144,2.3745731305050513E8
81,0.08800000000000001,81,0.771126803924254-0.6366713871374108i,-5.6445925027807105E-5,0.9602863913038483-0.27899292035200823i,2.655047783096829E-4-26.011907964496963i,9.33990162960615,307759.6702977505
81,0.08900000000000001,81,0.7688120329970325-0.639475088616427i,1.4376969761811156E-6,0.959272079875011-0.28248434968027486i,-6.694637508999153E-6-25.864112047345856i,9.33990162960615,-1.2083060318752322E7
81,0.09000000000000001,81,0.7663585044630984-0.6424148726695111i,9.66734054838372E-6,0.9581842628816609-0.28615580433712823i,-4.4543119293946124E-5-25.710055824704643i,9.339899257213201,-1796955.345622332
81,0.09100000000000001,81,0.7639343109145755-0.6452848535377879i,-5.136171582435874E-5,0.9570957790508345-0.28975134740133235i,2.3422871577126936E-4-25.560477336244748i,9.339901629606144,338224.2784802148
81,0.09200000000000001,81,0.7612847036502739-0.6484197959235625i,1.1429562298013266E-5,0.9559052957821104-0.2936795826290209i,-5.154335696768867E-5-25.39879435772409i,9.339901629606148,-1519898.909900973
81,0.093,81,0.7583985742262542-0.6517929714662973i,1.0748954405354809E-5,0.9545920523727559-0.2979202722005506i,-4.7895003894442767E-5-25.225944432436126i,9.33990162960615,-1616136.6605983377
81,0.094,81,0.7551170674016722-0.6555926473650527i,1.5220954434589701E-5,0.9530847987237325-0.3027092188919293i,-6.691233628071349E-5-25.032944011949645i,9.339901629606153,-1141306.8313103816
81,0.095,81,0.75146881329949-0.6597618500157051i,-3.8756187364780435E-5,0.9513872453666374-0.30798276810817005i,1.6787699423221345E-4-24.822960834397698i,9.339901629606148,448232.4102908951
82,0.02,82,0.8942039145950266-0.4476626229999474i,1.070494737514824E-5,0.9986657664029268-0.05166383573755989i,-1.0892701094320006E-4-39.5654087204544i,9.339901629606146,-1622780.446069745
82,0.021,82,0.8926491210275631-0.45075296532758635i,2.992387373243219E-6,0.9984801774229168-0.05511827570228911i,-3.0007936831498427E-5-39.261878354138105i,9.339901629606146,-5805324.348755337
82,0.022,82,0.8910816746859012-0.45384561020574643i,1.0374692385022266E-5,0.9982839197890435-0.05857989718904166i,-1.0254044591416614E-4-38.96205907518931i,9.33990162960615,-1674438.0105776465
82,0.023,82,0.8894979349639174-0.45693170270613126i,-2.971781774681958E-5,0.9980701085662469-0.062042047270844225i,2.895233891913072E-4-38.66640745893719i,9.339901629606143,584557.7028628767
82,0.024,82,0.887964944367989-0.45991537146380185i,1.6899820872651E-5,0.9978617322412899-0.06539001960195795i,-1.6238527392368316E-4-38.38450353477686i,9.33990162960615,-1027926.8287016124
82,0.025,82,0.8863588846261938-0.4629993215410575i,1.9287155670116705E-6,0.9976266140072707-0.06885915427637607i,-1.8270781259780962E-5-38.09636136007492i,9.33990162960615,-9006916.09557664
